სათაური,ავტორი,ფასი,ლინკი
ქართველთა გამუსლიმება (ზეპირი გადმოცემები),ზაქარია ჭიჭინაძე,₾7.00 GEL,http://lit.ge/book/282925-qartvelta-gamuslimeba-zepiri-gadmocemebi-zaqaria-chichinadze/
საარჩევნო კამპანიის პოლიტტექნოლოგიური ლექსიკონი,ზაზა ხურციძე,₾10.00 GEL,http://lit.ge/book/282864-saarchevno-kampaniis-politteqnologiuri-leqsikoni-zaza-xurcidze/
ხმები,დაჩა მარაინი,₾5.00 GEL,http://lit.ge/book/282784-xmebi-dacha-maraini/
ჩემი ქმარი,დაჩა მარაინი,₾2.50 GEL,http://lit.ge/book/282747-chemi-qmari-dacha-maraini/
ბატონი და ქალბატონი რივები,კატრინ ლოვე,₾5.00 GEL,http://lit.ge/book/282688-batoni-da-qalbatoni-rivebi-katrin-love/
"მარანი, ქვევრი, ღვინო",გიორგი ბარისაშვილი,₾30.00 GEL,"http://lit.ge/book/282567-marani,-qvevri,-ghvino-giorgi-barisashvili/"
მე და შენ,ნიკოლო ამანიტი,₾6.60 GEL,http://lit.ge/book/282523-me-da-shen-nikolo-amaniti/
აუშვიცის ტატუისტი,ჰიზერ მორისი,₾6.50 GEL,http://lit.ge/book/282457-aushvicis-tatuisti-hizer-morisi/
ბ-ნ უ.ჰ-ის პორტრეტი,ოსკარ უაილდი,₾1.00 GEL,http://lit.ge/book/282322-b-n-uh-is-portreti-oskar-uaildi/
კარი კედელში,ჰერბერტ უელსი,₾1.00 GEL,http://lit.ge/book/282079-kari-kedelshi-herbert-uelsi/
გამხდარი მამაკაცი,დეშილ ჰემეთი,₾5.00 GEL,http://lit.ge/book/281959-gamxdari-mamakaci-deshil-hemeti/
წყალქვეშა ნავი,ჯო დანთორნი,₾10.60 GEL,http://lit.ge/book/281900-tsyalqvesha-navi-jo-dantorni/
ამბავი ძველი დახვრეტილებისა და ამბავი ახალი დასახვრეტებისა,ბესო სოლომანაშვილი,₾10.60 GEL,http://lit.ge/book/281868-ambavi-dzveli-daxvretilebisa-da-ambavi-axali-dasaxvretebisa-beso-solomanashvili/
უბედობა,იმრე კერტესი,₾9.20 GEL,http://lit.ge/book/281832-ubedoba-imre-kertesi/
ერთი ჩვენგანი ტყუის,კერენ მაკმანუსი,₾10.60 GEL,http://lit.ge/book/281770-erti-chvengani-tyuis-keren-makmanusi/
განჯადოება,ბესო ხვედელიძე,₾4.60 GEL,http://lit.ge/book/281728-ganjadoeba-beso-xvedelidze/
სპილოს მოგზაურობა,ჟოზე სარამაგუ,₾8.60 GEL,http://lit.ge/book/281673-spilos-mogzauroba-zhoze-saramagu/
მოსამართი ჩიტის ქრონიკები,ჰარუკი მურაკამი,₾18.60 GEL,http://lit.ge/book/281578-mosamarti-chitis-qronikebi-haruki-murakami/
კანიბალიადა,მიშა ბახსოლიანი,₾7.90 GEL,http://lit.ge/book/281512-kanibaliada-misha-baxsoliani/
HBR-ის გზამკვლევი ბიზნესკეისის ასაგებად,რეიმონდ შინი,₾16.10 GEL,"http://lit.ge/book/281215-hbr-is-gzamkvlevi-bizneskeisis-asagebad-reimond-shini,-emi-galo/"
თიხის ხიდი,მარკუს ზუზაკი,₾7.50 GEL,http://lit.ge/book/281074-tixis-xidi-markus-zuzaki/
პატარძალი შავებში,კორნელ ვულრიჩი,₾5.00 GEL,http://lit.ge/book/281028-patardzali-shavebshi-kornel-vulrichi/
ჰიბრიდული ომების ანატომია,კრებული,₾20.00 GEL,http://lit.ge/book/280783-hibriduli-omebis-anatomia-krebuli/
Drive – რა გვამოძრავებს სინამდვილეში? მოტივაციის საიდუმლო,დენიელ პინკი,₾7.50 GEL,http://lit.ge/book/280545-drive-ra-gvamodzravebs-sinamdvileshi-motivaciis-saidumlo-deniel-pinki/
მწვანე ფერიის ღამე,აიფერ თუნჩი,₾3.00 GEL,http://lit.ge/book/280487-mtsvane-feriis-ghame-aifer-tunchi/
"სტამბოლი, სტამბოლი",ბურჰან სონმეზი,₾3.00 GEL,"http://lit.ge/book/280445-stamboli,-stamboli-burhan-sonmezi/"
ოკრიბის ღმერთი,სოფიო კუბლაშვილი,₾7.50 GEL,http://lit.ge/book/280365-okribis-ghmerti-sofio-kublashvili/
ფიჭვები შორს იყო,დათია ბადალაშვილი,₾5.50 GEL,http://lit.ge/book/280319-fichvebi-shors-iyo-datia-badalashvili/
მე არაფერს ვმალავ,პენი ჯოლსონი,₾11.00 GEL,http://lit.ge/book/280238-me-arafers-vmalav-peni-jolsoni/
უჩვეულო დანა,ფილიპ პულმანი,₾10.60 GEL,http://lit.ge/book/280197-uchveulo-dana-filip-pulmani/
დიდი იმედები,ჩარლზ დიკენსი,₾12.00 GEL,http://lit.ge/book/280113-didi-imedebi-charlz-dikensi/
ოთახი ხედით,ედუარდ მორგან ფორსტერი,₾10.00 GEL,http://lit.ge/book/280065-otaxi-xedit-eduard-morgan-forsteri/
არარსებული რაინდი,იტალო კალვინო,₾4.00 GEL,http://lit.ge/book/280030-ararsebuli-raindi-italo-kalvino/
"ბავშვი, რომელიც ძაღლების ენაზე ლაპარაკობდა",ჟოანა გრუდა,₾4.00 GEL,"http://lit.ge/book/279958-bavshvi,-romelic-dzaghlebis-enaze-laparakobda-zhoana-gruda/"
ჩემი საყვარელი მკვლელობები (II),ალფრედ ჰიჩკოკის დეტექტიური ჟურნალი,₾5.00 GEL,http://lit.ge/book/279693-chemi-sayvareli-mkvlelobebi-ii-alfred-hichkokis-deteqtiuri-zhurnali/
ჩემი საყვარელი მკვლელობები (I),ალფრედ ჰიჩკოკის დეტექტიური ჟურნალი,₾5.00 GEL,http://lit.ge/book/279547-chemi-sayvareli-mkvlelobebi-i-alfred-hichkokis-deteqtiuri-zhurnali/
ზიანი,ჰაქან გიუნდაი,₾3.00 GEL,http://lit.ge/book/279467-ziani-haqan-giundai/
განახევრებული ვიკონტი,იტალო კალვინო,₾4.00 GEL,http://lit.ge/book/279431-ganaxevrebuli-vikonti-italo-kalvino/
პირველად იყო რატომ,საიმონ სინეკი,₾8.50 GEL,http://lit.ge/book/277822-pirvelad-iyo-ratom-saimon-sineki/
წითელი სახლი,მამუკა მაღულარია,უფასო,http://lit.ge/book/277805-tsiteli-saxli-mamuka-maghularia/
ჩემი წუთისოფელი,ვახუშტი კოტეტიშვილი,₾13.20 GEL,http://lit.ge/book/276776-chemi-tsutisofeli-vaxushti-kotetishvili/
